Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor
2014-08-09,58.31511,58.07426,58.688442,59.05079,59.428642,60.006996,60.204872,59.65356,59.401188,58.458523,64.416,60.58
2014-08-10,57.4002,58.478897,58.108624,59.297104,59.528114,59.97962,60.466984,59.516663,58.678482,57.94701,64.679,60.821
2014-08-11,58.13237,58.355022,58.016647,59.23103,60.12213,60.000347,60.159855,59.700428,58.685173,58.03305,64.93,61.017
2014-08-12,57.20509,58.671066,57.6815,59.198128,60.00267,59.10911,58.547295,59.410053,58.61083,57.28687,65.212,61.033
2014-08-13,58.791336,59.0074,58.375458,59.1428,59.873444,58.729904,58.8352,59.730743,58.670784,57.589912,65.494,61.104
2014-08-14,57.817852,59.413002,58.08125,59.337578,59.590084,58.28995,58.93969,59.861416,58.560375,57.440292,65.709,61.369
2014-08-15,59.87164,60.756466,59.04379,58.980335,61.322086,60.10187,59.550587,59.896603,59.777855,58.253227,65.826,61.606
2014-08-16,60.799725,61.73147,60.116394,60.524036,62.357807,60.735924,60.641186,61.060047,61.069122,60.101547,65.791,61.807
2014-08-17,62.33172,62.988956,61.631744,62.40686,63.070175,63.37156,62.917168,62.455334,62.320057,62.5821,65.538,61.975
2014-08-18,63.4319,63.98795,62.86217,64.33743,64.7081,64.6241,64.38168,63.568565,63.94676,64.41783,65.073,62.114
2014-08-19,64.643166,65.31708,64.116974,65.24244,66.13294,67.13271,64.59698,64.74641,65.31041,65.85368,64.516,62.245
2014-08-20,62.369522,62.97158,61.85834,63.741184,65.15363,63.75091,63.31775,63.09244,63.666855,63.696896,63.986,62.034
2014-08-21,61.35492,61.349957,61.48984,62.302624,62.39566,61.74133,61.262703,62.366226,62.77055,62.79043,63.594,61.669
2014-08-22,60.282215,61.409237,60.86707,62.77124,61.353928,61.54492,60.247124,61.849346,61.922188,61.653866,63.418,61.576
2014-08-23,62.322098,62.645374,62.89795,63.03547,62.732903,62.928688,61.40612,63.060177,64.17304,63.46005,63.402,61.641
2014-08-24,62.04468,62.601944,62.461224,62.689697,63.210075,62.026356,62.826992,62.84397,64.11869,63.862534,63.458,61.749
2014-08-25,61.603893,62.970463,62.378593,62.123238,63.607292,63.080956,63.409748,63.136375,64.07227,64.20089,63.481,61.866
2014-08-26,60.8562,62.61145,61.77309,62.520992,63.642567,62.561962,62.06684,62.582752,63.521965,63.596813,63.33,62.048
2014-08-27,61.816532,63.083946,62.23982,62.8756,63.416,63.576584,63.255028,63.02929,63.700584,63.76795,62.931,62.246
2014-08-28,61.220657,62.19105,61.468884,62.29836,63.611355,62.480812,61.553917,61.915577,63.054695,62.942608,62.284,62.319
2014-08-29,59.925552,60.312706,60.92377,61.221416,62.934513,61.04188,60.808197,61.229595,62.224087,62.273293,61.483,62.236
2014-08-30,58.668365,59.047104,59.030464,59.76488,61.180195,59.2951,59.383217,59.52921,60.421555,61.334465,60.758,62.018
2014-08-31,56.858097,57.89849,57.804592,58.298866,58.858864,57.777863,57.308037,58.811806,58.69024,59.608902,60.297,61.639
2014-09-01,56.01349,56.68451,56.378967,57.208218,57.292706,56.197582,55.159893,57.21338,56.540043,57.90357,60.238,61.028
2014-09-02,55.26309,55.85535,56.13471,56.65394,56.4233,55.84717,54.592407,57.11715,55.447624,57.01812,60.62,60.53
2014-09-03,56.434307,57.315693,56.6199,57.841953,57.242928,57.8849,55.801834,58.01336,56.336964,58.15355,61.309,60.421
2014-09-04,58.55788,59.079185,59.21761,58.957954,59.29699,59.323524,57.854347,59.868496,58.909035,60.09049,62.13,60.431
2014-09-05,59.393402,59.848866,59.770775,59.175793,59.889595,60.044205,59.45246,59.46956,59.562172,60.66571,62.941,60.224
2014-09-06,59.078426,59.682816,59.79859,58.913464,59.84168,59.787178,60.111515,60.273544,59.90964,60.80863,63.602,59.947
2014-09-07,59.809998,61.04154,60.35517,60.449654,60.2214,60.480843,59.601288,61.02579,60.591797,61.10622,63.975,59.863
2014-09-08,60.64054,61.81468,61.544067,61.67077,60.9206,61.21779,60.22773,62.859215,61.868076,62.317757,64.005,59.954
2014-09-09,62.299076,63.198,62.624073,63.069355,61.932228,62.46348,60.25205,63.48645,63.410957,63.39112,63.768,60.15
