Y,M,D,h,m,s,Hs,Tp,Dir
1979,1,1,12,0,0,1.86,12.093,53.447
1979,1,1,15,0,0,1.86,12.097,53.866
1979,1,1,18,0,0,1.859,12.108,54.076
1979,1,1,21,0,0,1.851,12.091,54.219
1979,1,2,0,0,0,1.823,12.027,54.491
1979,1,2,3,0,0,1.771,11.9,54.856
1979,1,2,6,0,0,1.69,11.758,55.202
1979,1,2,9,0,0,1.593,11.617,55.567
1979,1,2,12,0,0,1.499,11.475,55.958
1979,1,2,15,0,0,1.42,11.316,56.397
1979,1,2,18,0,0,1.355,11.081,56.241
1979,1,2,21,0,0,1.297,10.796,56.416
1979,1,3,0,0,0,1.245,10.62,56.663
1979,1,3,3,0,0,1.194,10.507,57.006
1979,1,3,6,0,0,1.144,10.395,57.333
1979,1,3,9,0,0,1.097,10.267,57.615
1979,1,3,12,0,0,1.055,10.083,57.442
1979,1,3,15,0,0,1.018,9.867,57.688
1979,1,3,18,0,0,0.98,9.735,57.925
1979,1,3,21,0,0,0.944,9.646,58.217
1979,1,4,0,0,0,0.91,9.576,58.433
1979,1,4,3,0,0,0.878,9.517,58.662
1979,1,4,6,0,0,0.85,9.463,58.925
1979,1,4,9,0,0,0.83,9.405,59.216
1979,1,4,12,0,0,0.813,9.358,59.606
1979,1,4,15,0,0,0.799,9.326,60.013
1979,1,4,18,0,0,0.791,9.312,60.218
1979,1,4,21,0,0,0.771,9.292,60.285
1979,1,5,0,0,0,0.734,9.284,60.41
1979,1,5,3,0,0,0.688,9.282,60.328
1979,1,5,6,0,0,0.649,9.3,60.255
1979,1,5,9,0,0,0.627,9.312,60.171
1979,1,5,12,0,0,0.616,9.309,60.294
1979,1,5,15,0,0,0.606,9.304,60.288
1979,1,5,18,0,0,0.606,9.3,59.999
1979,1,5,21,0,0,0.601,9.308,59.508
1979,1,6,0,0,0,0.587,9.328,59.04
1979,1,6,3,0,0,0.568,9.379,58.911
1979,1,6,6,0,0,0.553,9.487,59.285
1979,1,6,9,0,0,0.547,9.649,59.949
1979,1,6,12,0,0,0.543,9.771,60.718
1979,1,6,15,0,0,0.536,9.798,61.432
1979,1,6,18,0,0,0.53,9.761,61.927
1979,1,6,21,0,0,0.515,9.72,62.108
1979,1,7,0,0,0,0.492,9.684,62.241
1979,1,7,3,0,0,0.468,9.66,61.957
1979,1,7,6,0,0,0.439,9.681,61.176
1979,1,7,9,0,0,0.405,9.809,60.285
1979,1,7,12,0,0,0.379,10.182,56.577
1979,1,7,15,0,0,0.365,10.407,56.55
1979,1,7,18,0,0,0.358,10.418,57.059
1979,1,7,21,0,0,0.366,10.348,57.366
1979,1,8,0,0,0,0.375,10.26,57.388
1979,1,8,3,0,0,0.367,10.098,59.989
1979,1,8,6,0,0,0.369,9.947,60.038
1979,1,8,9,0,0,0.373,9.832,60.225
1979,1,8,12,0,0,0.38,9.747,60.393
1979,1,8,15,0,0,0.385,9.666,60.362
1979,1,8,18,0,0,0.393,9.576,59.988
1979,1,8,21,0,0,0.4,9.5,59.125
1979,1,9,0,0,0,0.387,9.431,58.578
1979,1,9,3,0,0,0.372,9.339,57.66
1979,1,9,6,0,0,0.362,9.26,56.332
1979,1,9,9,0,0,0.367,9.217,57.423
1979,1,9,12,0,0,0.359,9.267,54.507
1979,1,9,15,0,0,0.36,9.127,57.323
1979,1,9,18,0,0,0.371,9.048,57.61
1979,1,9,21,0,0,0.384,8.981,57.57
1979,1,10,0,0,0,0.399,8.942,57.197
1979,1,10,3,0,0,0.419,8.919,56.659
1979,1,10,6,0,0,0.441,11.086,46.483
1979,1,10,9,0,0,0.452,11.458,45.398
1979,1,10,12,0,0,0.467,11.458,45.21
1979,1,10,15,0,0,0.532,11.487,45.041
1979,1,10,18,0,0,0.505,11.487,44.88
1979,1,10,21,0,0,0.468,11.398,44.641
1979,1,11,0,0,0,0.433,11.288,44.639
1979,1,11,3,0,0,0.409,11.178,44.774
1979,1,11,6,0,0,0.391,10.948,47.053
1979,1,11,9,0,0,0.377,10.658,47.458
1979,1,11,12,0,0,0.372,10.49,47.837
1979,1,11,15,0,0,0.379,10.362,48.157
1979,1,11,18,0,0,0.36,10.302,48.494
1979,1,11,21,0,0,0.348,10.233,48.901
1979,1,12,0,0,0,0.339,10.203,49.219
1979,1,12,3,0,0,0.335,10.145,49.649
1979,1,12,6,0,0,0.338,10.09,50.653
1979,1,12,9,0,0,0.351,10.005,50.696
1979,1,12,12,0,0,0.369,9.886,50.701
1979,1,12,15,0,0,0.448,9.858,50.801
1979,1,12,18,0,0,0.511,9.805,51.07
1979,1,12,21,0,0,0.547,9.831,51.539
1979,1,13,0,0,0,0.58,9.844,51.934
1979,1,13,3,0,0,0.616,9.831,52.343
1979,1,13,6,0,0,0.65,9.816,52.862
1979,1,13,9,0,0,0.705,9.737,53.396
