Y,M,D,h,m,s,yout
1999,1,2,0,0,0,56.4
1999,1,3,0,0,0,57.673
1999,1,4,0,0,0,58.594
1999,1,5,0,0,0,56.454
1999,1,6,0,0,0,61.905
1999,1,7,0,0,0,61.209
1999,1,8,0,0,0,60.388
1999,1,9,0,0,0,60.972
1999,1,10,0,0,0,60.318
1999,1,11,0,0,0,59.636
1999,1,12,0,0,0,59.155
1999,1,13,0,0,0,58.717
1999,1,14,0,0,0,57.89
1999,1,15,0,0,0,56.565
1999,1,16,0,0,0,57.648
1999,1,17,0,0,0,58.978
1999,1,18,0,0,0,59.404
1999,1,19,0,0,0,58.053
1999,1,20,0,0,0,57.059
1999,1,21,0,0,0,55.773
1999,1,22,0,0,0,54.894
1999,1,23,0,0,0,54.929
1999,1,24,0,0,0,55.016
1999,1,25,0,0,0,55.103
1999,1,26,0,0,0,55.189
1999,1,27,0,0,0,55.276
1999,1,28,0,0,0,55.362
1999,1,29,0,0,0,55.449
1999,1,30,0,0,0,55.578
1999,1,31,0,0,0,55.708
1999,2,1,0,0,0,55.795
1999,2,2,0,0,0,55.881
1999,2,3,0,0,0,55.968
1999,2,4,0,0,0,56.054
1999,2,5,0,0,0,56.141
1999,2,6,0,0,0,56.228
1999,2,7,0,0,0,56.314
1999,2,8,0,0,0,56.401
1999,2,9,0,0,0,56.487
1999,2,10,0,0,0,56.225
1999,2,11,0,0,0,55.048
1999,2,12,0,0,0,54.989
1999,2,13,0,0,0,55.08
1999,2,14,0,0,0,55.807
1999,2,15,0,0,0,56.548
1999,2,16,0,0,0,57.447
1999,2,17,0,0,0,58.142
1999,2,18,0,0,0,54.4
1999,2,19,0,0,0,54.621
1999,2,20,0,0,0,57.858
1999,2,21,0,0,0,54.703
1999,2,22,0,0,0,55.361
1999,2,23,0,0,0,56.212
1999,2,24,0,0,0,57.062
1999,2,25,0,0,0,58.338
1999,2,26,0,0,0,59.614
1999,2,27,0,0,0,60.465
1999,2,28,0,0,0,61.316
1999,3,1,0,0,0,61.941
1999,3,2,0,0,0,61.619
1999,3,3,0,0,0,58.49
1999,3,4,0,0,0,54.636
1999,3,5,0,0,0,54.673
1999,3,6,0,0,0,55.344
1999,3,7,0,0,0,54.715
1999,3,8,0,0,0,56.653
1999,3,9,0,0,0,57.593
1999,3,10,0,0,0,56.175
1999,3,11,0,0,0,54.591
1999,3,12,0,0,0,55.71
1999,3,13,0,0,0,56.758
1999,3,14,0,0,0,57.806
1999,3,15,0,0,0,58.854
1999,3,16,0,0,0,59.103
1999,3,17,0,0,0,56.364
1999,3,18,0,0,0,57.282
1999,3,19,0,0,0,58.564
1999,3,20,0,0,0,59.567
1999,3,21,0,0,0,60.346
1999,3,22,0,0,0,59.681
1999,3,23,0,0,0,58.991
1999,3,24,0,0,0,58.628
1999,3,25,0,0,0,58.112
1999,3,26,0,0,0,57.953
1999,3,27,0,0,0,58.204
1999,3,28,0,0,0,58.503
1999,3,29,0,0,0,58.47
1999,3,30,0,0,0,58.108
1999,3,31,0,0,0,57.734
1999,4,1,0,0,0,58.872
1999,4,2,0,0,0,59.942
1999,4,3,0,0,0,58.088
1999,4,4,0,0,0,60.092
1999,4,5,0,0,0,59.601
1999,4,6,0,0,0,57.055
1999,4,7,0,0,0,57.36
1999,4,8,0,0,0,57.666
1999,4,9,0,0,0,57.972
1999,4,10,0,0,0,58.431
1999,4,11,0,0,0,58.89
1999,4,12,0,0,0,59.373
1999,4,13,0,0,0,60.142
1999,4,14,0,0,0,60.91
1999,4,15,0,0,0,61.613
1999,4,16,0,0,0,61.247
1999,4,17,0,0,0,61.861
1999,4,18,0,0,0,63.33
1999,4,19,0,0,0,65.577
1999,4,20,0,0,0,61.219
1999,4,21,0,0,0,61.107
1999,4,22,0,0,0,61.067
1999,4,23,0,0,0,61.043
1999,4,24,0,0,0,58.117
1999,4,25,0,0,0,55.921
1999,4,26,0,0,0,54.986
1999,4,27,0,0,0,55.408
1999,4,28,0,0,0,56.52
1999,4,29,0,0,0,57.335
1999,4,30,0,0,0,56.002
1999,5,1,0,0,0,55.274
1999,5,2,0,0,0,57.096
1999,5,3,0,0,0,57.645
1999,5,4,0,0,0,61.945
1999,5,5,0,0,0,64.778
1999,5,6,0,0,0,65.057
1999,5,7,0,0,0,63.216
1999,5,8,0,0,0,60.994
1999,5,9,0,0,0,62.861
1999,5,10,0,0,0,64.746
1999,5,11,0,0,0,64.499
1999,5,12,0,0,0,63.842
1999,5,13,0,0,0,63.005
1999,5,14,0,0,0,62.699
1999,5,15,0,0,0,61.984
1999,5,16,0,0,0,61.256
1999,5,17,0,0,0,60.838
1999,5,18,0,0,0,61.788
1999,5,19,0,0,0,62.779
1999,5,20,0,0,0,62.909
1999,5,21,0,0,0,64.377
1999,5,22,0,0,0,65.05
1999,5,23,0,0,0,62.494
1999,5,24,0,0,0,62.868
1999,5,25,0,0,0,63.734
1999,5,26,0,0,0,64.623
1999,5,27,0,0,0,65.661
1999,5,28,0,0,0,65.625
1999,5,29,0,0,0,65.581
1999,5,30,0,0,0,62.184
