Y,M,D,h,m,s,SPADS,ShoreFor,Obs
1999,1,2,0,0,0,62.633,63.947,56.4
1999,1,3,0,0,0,62.757,63.779,57.555
1999,1,4,0,0,0,63.189,63.697,58.205
1999,1,5,0,0,0,63.778,63.776,58.946
1999,1,6,0,0,0,64.313,63.937,59.599
1999,1,7,0,0,0,64.653,64.194,59.977
1999,1,8,0,0,0,64.732,64.526,60.126
1999,1,9,0,0,0,64.525,64.768,60.512
1999,1,10,0,0,0,64.049,64.922,60.056
1999,1,11,0,0,0,63.434,65.048,59.582
1999,1,12,0,0,0,62.842,65.091,59.036
1999,1,13,0,0,0,62.361,65.015,58.561
1999,1,14,0,0,0,62.04,64.898,58.37
1999,1,15,0,0,0,61.883,64.781,58.337
1999,1,16,0,0,0,61.837,64.688,58.179
1999,1,17,0,0,0,61.822,64.628,57.942
1999,1,18,0,0,0,61.79,64.549,57.64
1999,1,19,0,0,0,61.708,64.479,57.401
1999,1,20,0,0,0,61.501,64.425,57.013
1999,1,21,0,0,0,61.152,64.369,56.447
1999,1,22,0,0,0,60.757,64.316,55.832
1999,1,23,0,0,0,60.439,64.233,55.423
1999,1,24,0,0,0,60.299,64.065,55.169
1999,1,25,0,0,0,60.405,63.837,55.11
1999,1,26,0,0,0,60.727,63.707,55.189
1999,1,27,0,0,0,61.109,63.717,55.282
1999,1,28,0,0,0,61.348,63.739,55.381
1999,1,29,0,0,0,61.387,63.746,55.48
1999,1,30,0,0,0,61.343,63.652,55.578
1999,1,31,0,0,0,61.315,63.271,55.677
1999,2,1,0,0,0,61.367,62.937,55.776
1999,2,2,0,0,0,61.463,62.881,55.875
1999,2,3,0,0,0,61.519,63.02,55.968
1999,2,4,0,0,0,61.395,63.148,56.054
1999,2,5,0,0,0,60.998,63.121,56.141
1999,2,6,0,0,0,60.351,63.134,56.228
1999,2,7,0,0,0,59.578,63.156,56.264
1999,2,8,0,0,0,58.848,63.038,56.12
1999,2,9,0,0,0,58.289,62.793,55.956
1999,2,10,0,0,0,57.978,62.599,55.792
1999,2,11,0,0,0,57.98,62.407,55.72
1999,2,12,0,0,0,58.303,62.082,55.741
1999,2,13,0,0,0,58.86,61.801,55.878
1999,2,14,0,0,0,59.52,61.679,56.152
1999,2,15,0,0,0,60.143,61.622,56.059
1999,2,16,0,0,0,60.602,61.603,56.007
1999,2,17,0,0,0,60.837,61.598,56.403
1999,2,18,0,0,0,60.911,61.571,56.246
1999,2,19,0,0,0,60.937,61.484,56.076
1999,2,20,0,0,0,61.008,61.359,55.9
1999,2,21,0,0,0,61.192,61.271,55.745
1999,2,22,0,0,0,61.515,61.271,56.308
1999,2,23,0,0,0,61.948,61.422,57.021
