Datetime,SPADS
2014-07-01,63.334
2014-07-02,63.553
2014-07-03,63.369
2014-07-04,62.754
2014-07-05,61.721
2014-07-06,60.288
2014-07-07,58.553
2014-07-08,56.729
2014-07-09,55.04
2014-07-10,53.747
2014-07-11,53.092
2014-07-12,53.1
2014-07-13,53.6
2014-07-14,54.417
2014-07-15,55.452
2014-07-16,56.601
2014-07-17,57.777
2014-07-18,58.969
2014-07-19,60.19
2014-07-20,61.47
2014-07-21,62.797
2014-07-22,64.075
2014-07-23,65.186
2014-07-24,66.087
2014-07-25,66.758
2014-07-26,67.206
2014-07-27,67.455
2014-07-28,67.497
2014-07-29,67.312
2014-07-30,66.844
2014-07-31,66.07
2014-08-01,65.025
2014-08-02,63.907
2014-08-03,63.001
2014-08-04,62.536
2014-08-05,62.553
2014-08-06,62.961
2014-08-07,63.54
2014-08-08,64.05
2014-08-09,64.416
2014-08-10,64.679
2014-08-11,64.93
2014-08-12,65.212
2014-08-13,65.494
2014-08-14,65.709
2014-08-15,65.826
2014-08-16,65.791
2014-08-17,65.538
2014-08-18,65.073
2014-08-19,64.516
2014-08-20,63.986
2014-08-21,63.594
2014-08-22,63.418
2014-08-23,63.402
2014-08-24,63.458
2014-08-25,63.481
2014-08-26,63.33
2014-08-27,62.931
2014-08-28,62.284
2014-08-29,61.483
2014-08-30,60.758
2014-08-31,60.297
2014-09-01,60.238
2014-09-02,60.62
2014-09-03,61.309
2014-09-04,62.13
2014-09-05,62.941
2014-09-06,63.602
2014-09-07,63.975
2014-09-08,64.005
2014-09-09,63.768
2014-09-10,63.339
2014-09-11,62.817
2014-09-12,62.416
2014-09-13,62.351
2014-09-14,62.748
2014-09-15,63.55
2014-09-16,64.522
2014-09-17,65.463
2014-09-18,66.235
2014-09-19,66.782
2014-09-20,67.087
2014-09-21,67.221
2014-09-22,67.311
2014-09-23,67.389
2014-09-24,67.418
2014-09-25,67.353
2014-09-26,67.086
2014-09-27,66.503
2014-09-28,65.651
2014-09-29,64.709
2014-09-30,63.969
2014-10-01,63.721
2014-10-02,64.158
2014-10-03,65.16
2014-10-04,66.447
2014-10-05,67.738
2014-10-06,68.784
2014-10-07,69.445
2014-10-08,69.672
2014-10-09,69.527
2014-10-10,69.13
2014-10-11,68.593
2014-10-12,67.99
2014-10-13,67.405
2014-10-14,66.89
2014-10-15,66.452
2014-10-16,66.113
2014-10-17,65.81
2014-10-18,65.421
2014-10-19,65.003
2014-10-20,64.709
2014-10-21,64.687
2014-10-22,65.0
2014-10-23,65.64
2014-10-24,66.525
2014-10-25,67.516
2014-10-26,68.449
2014-10-27,69.202
2014-10-28,69.722
2014-10-29,70.047
2014-10-30,70.218
2014-10-31,70.238
2014-11-01,70.095
